id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10809482,Pokemon Promo,Greninja ex [Jumbo] #54,,,,,,,,,,,,,,,,,,,0,Pokemon Card,,,,2025-01-01
1656587,Pokemon Promo,Grimmsnarl V #SWSH057,$3.13,,,$19.84,$22.00,$25.80,$34.00,$21.00,$15.00,,,,$3.39,,,,,,92,Pokemon Card,,,,2020-04-26
10809504,Pokemon Promo,Grimmsnarl V [Jumbo] #57,,,,,,,,,,,,,,,,,,,0,Pokemon Card,,,,2025-01-01
1656533,Pokemon Promo,Grookey #SWSH001,$5.15,,$20.99,$24.60,$27.00,$31.00,$40.00,$25.00,$19.00,,,$1.10,$5.69,,,$6.90,$22.99,,41,Pokemon Card,,,,2020-04-26
1656599,Pokemon Promo,Grookey #SWSH070,$1.52,$1.00,$0.99,$17.99,$20.00,$58.44,$76.00,$47.00,$35.00,,,,$1.69,,$1.09,,$1.09,,278,Pokemon Card,227028,,,2020-04-26
10809556,Pokemon Promo,Grookey [Jumbo] #1,,,,,,,,,,,,,,,,,,,0,Pokemon Card,,,,2025-01-01
4793369,Pokemon Promo,Grookey on the Ball #3,$30.57,$13.38,$17.54,$33.28,$37.00,$168.88,$220.00,$68.66,$101.00,,,$10.20,$33.99,$3.80,$14.99,$4.80,$18.99,,135,Pokemon Card,227413,,,
844717,Pokemon Promo,Groudon #XY52,$7.50,$31.99,$43.40,$186.38,$205.00,$1306.25,$1698.00,$1045.00,$784.00,,,$1.70,$8.29,$10.50,$34.99,$19.20,$47.99,,126,Pokemon Card,98733,,,2013-10-12
845004,Pokemon Promo,Groudon EX #2,$16.06,$57.00,$71.50,$107.02,$118.00,$494.48,$643.00,$275.00,$297.00,,,$4.50,$17.99,$25.20,$62.99,$31.60,$78.99,,131,Pokemon Card,85928,,,2003-10-01
845040,Pokemon Promo,Groudon EX #38,$46.00,$72.28,$177.50,$629.94,$1003.31,$3146.53,$4090.00,$887.50,$1888.00,,,$20.40,$50.99,$32.00,$79.99,$97.50,$195.00,,119,Pokemon Card,85931,,,2003-10-01
844707,Pokemon Promo,Groudon EX #XY42,$8.50,$14.46,$34.99,$39.81,$44.00,$211.00,$274.00,$169.00,$127.00,,,$1.90,$9.39,$4.00,$15.99,$15.20,$37.99,,143,Pokemon Card,108592,,,2013-10-12
